Distrito,Esperanza de vida,Renta media anual ,Poblacion por barrio
Centro,82.75,33473,268.68
Arganzuela,82.44,42088,240.88
Retiro,83.5,53111,220.27
Salamanca,83.82,57720,274.19
Chamartín,82.99,65995,160.81
Tetuán,81.5,36142,300.13
Chamberí,83.74,51644,301.05
Fuencarral-El Pardo,82.7,50379,10.51
Moncloa-Aravaca,82.62,58965,26.15
Latina,82.44,30847,95.23
Carabanchel,81.59,28721,185.22
Usera,81.45,26501,183.72
Puente de Vallecas,80.55,25527,160.91
Moratalaz,82.47,35514,156.66
Ciudad Lineal,82.9,37621,192.43
Hortaleza,83.25,49695,70.48
Villaverde,81.76,27392,76.44
Villa de Vallecas,80.6,31447,22.25
Vicálvaro,81.87,32713,21
San Blas-Canillejas,82.2,35546,72.32
Barajas,83.57,47782,11.93