fecha,Temperaturamedia-maximanormal
1988-07-01,"30,6"
1989-07-01,"30,6"
1990-07-01,"30,6"
1991-07-01,"30,7"
1992-07-01,"30,8"
1993-07-01,"30,9"
1994-07-01,31
1995-07-01,"31,1"
1996-07-01,"31,2"
1997-07-01,"30,7"
1998-07-01,"30,7"
1999-07-01,"30,7"
2000-07-01,"30,7"
2001-07-01,"31,2"
2002-07-01,"31,2"
2003-07-01,"31,3"
2004-07-01,"31,4"
2005-07-01,"31,4"
2006-07-01,"31,5"
2007-07-01,"31,6"
2008-07-01,"31,8"
2009-07-01,"31,8"
2010-07-01,"31,9"
2011-07-01,"32,1"
2012-07-01,"32,1"
2013-07-01,"32,2"
2014-07-01,"32,2"
2015-07-01,"32,2"
2016-07-01,"32,4"
2017-07-01,"32,4"
2018-07-01,"32,6"
2019-07-01,"32,6"
2020-07-01,"32,6"
2021-07-01,"32,6"